Station ID,Company Name,Location,Industry Domain,Preferred Branches,Stipend (UG),Stipend (PG),Have Accommodation?
4837,JPMS CIB R&A Data Science,Mumbai,Finance and Mgmt,"A7 , B3A7 , B4A7 , B5A7",100000,0,No
4832,JPMS CIB R&A Global Research,Mumbai,Finance and Mgmt,"AnyB3 , AnyB4",75000,0,No
4845,JPMS CIB R&A Markets– Equity Derivatives Trading & Structuring,Mumbai,Finance and Mgmt,"A3 , A7 , A8 , AA",75000,0,No
4841,JPMS GR&C Auto Risk Strategy Analytics,Bangalore,Finance and Mgmt,"AnyB3 , AnyB4",75000,0,No
4840,JPMS GR&C Cards Risk Strategy Analytics,Bangalore,Finance and Mgmt,"AnyB3 , AnyB4",75000,0,No
4844,JPMS GR&C CCB Business Banking Reporting Strategy,Bangalore,Finance and Mgmt,"A1 , A2 , A3 , A4 , A7 , A8 , AA , AB",75000,0,No
4843,JPMS GR&C CCB Chase 360 Strategy,Bangalore,Finance and Mgmt,"AnyB3 , AnyB4 , AnyB5",75000,0,No
4833,JPMS GR&C Corporate Risk - Control Automation,Bangalore,Finance and Mgmt,"A1 , A2 , A4 , AB",50000,0,No
4834,JPMS GR&C Corporate Risk - Risk Project Solutions,Bangalore,Finance and Mgmt,"A1 , A2 , A4 , AB",50000,0,No
4835,JPMS GR&C Corporate Risk - Risk Project Solutions,Mumbai,Finance and Mgmt,"A1 , A2 , A4 , AB",50000,0,No
4836,JPMS GR&C Corporate Risk – Firm wide Risk Reporting,Bangalore,Finance and Mgmt,"A3 , A4 , A7 , A8 , AA",50000,0,No
4842,JPMS GR&C Credit Forecasting Strategy,Bangalore,Finance and Mgmt,"AnyB3 , AnyB4 , AnyB5",75000,0,No
4847,JPMS GR&C Credit Risk – Counterparty Credit Infrastructure & Capital,Mumbai,Finance and Mgmt,"B3 , B4",75000,0,No
4839,JPMS GR&C Quantitative Research – Fintech,Mumbai,Finance and Mgmt,"A3 , A7 , A8 , AA",100000,0,No
4846,JPMS GR&C WCS - Credit Portfolio Analytics,Mumbai,Finance and Mgmt,"A3 , A7 , A8 , AA , B3 , B4",75000,0,No
4838,JPMS GR&C Wealth Management  – Data Science – Credit Risk,Mumbai,Finance and Mgmt,"A3 , A7 , A8 , AA",100000,0,No
3339,Lowe Services India Pvt.Ltd,Bangalore,Finance and Mgmt,Any,40250,0,No
